"year","item_code","description","value"
1952,"","AJUSTE PÓLIZAS ADUANERAS (Art. 99)",1998963.7
1952,"","Capítulo 1º: Comunicaciones",3530687.73
1952,"","Capítulo 1º: Impuestos Directos",10990125.96
1952,"","Capítulo 1º: Registros",59294.15
1952,"","Capítulo 1º: Ventas de Efectos Realizables",407453.46
1952,"","Capítulo 2º: Servicios Consulares",8836502.38
1952,"","Capítulo 2º: Transferencias de Propiedades",2458474.07
1952,"","Capítulo 2º: Varios",2741427.83
1952,"","Capítulo 3º: Impuesto sobre Licores",8010064.12
1952,"","Capítulo 3º: Servicios Varios",148095
1952,"","Capítulo 4º: Especies sin Valor Comercial",6687513.29
1952,"","Capítulo 5º: Licencias y Matrículas",1100486.2
1952,"","Capítulo 6º: Impuestos Varios",8980111.59
1952,"","Capítulo 7º: Renta de Aduanas (Ajuste Neto)*",68154151.99
1952,"","TITULO I — RENTAS DE DERECHOS PATRIMONIALES",33234.47
1952,"","TITULO II — EXPLOTACION DE EMPRESAS OFICIALES",6272115.56
1952,"","TITULO III — VENTA DE ESPECIES Y OTROS BIENES",3540385.28
1952,"","TITULO IV — SERVICIOS ADMINISTRATIVOS",9043891.53
1952,"","TITULO V — IMPUESTOS (Directos y Otros)",106380927.22
1952,"","TITULO VI — MULTAS Y COMISOS",686634.12
1952,"","TITULO VII — INGRESOS ORDINARIOS VARIOS",173216.1
1952,"","TOTAL INGRESOS ORDINARIOS",126086514.28
1952,"","— Art. 157: Venta cartuchos tiro al blanco",NA
1952,"","— Art. 158: Grabados marcas ganado",103
1952,"","— Art. 15: Producto de almacenes aduaneros",2390633.84
1952,"","— Art. 16: Producto de la Imprenta Nacional",6783.12
1952,"","— Art. 17: Producto de laboratorios químicos",103
1952,"1000","TOTAL GENERAL PERCIBIDO (FONDO GRAL)",129689958.53
1953,"0","IMPUESTOS (TAXES)",122954854.22
1953,"010-040","Taxes (Import, Export, Income, Consumption)",NA
1953,"100","VENTA DE MERCADERIAS Y PRODUCTOS",3906075.36
1953,"1000","TOTAL GENERAL DE INGRESOS",140541243.07
1953,"200","PRESTACION DE SERVICIOS",5926234.69
1953,"210","Servicios de Comunicaciones (Sub-total)",3746572.49
1953,"211","Teléfonos",1823685.3
1953,"212","Correos (Postal)",878107.14
1953,"213","Telégrafos",403277.62
1953,"214","Cablegramas",166005.84
1953,"215","Radiotelegrafía Internacional",329325.66
1953,"216","Radiotelefonía Internacional",141925.18
1953,"300","DERECHOS, LICENCIAS, CONCESIONES",1632029.87
1953,"341","Licencias de Motoristas y Aprendizaje",133812
1953,"400","MULTAS Y COMISOS",501501.78
1953,"50","Especies Fiscales e Impuestos por Servicios",3621529.03
1953,"51","Timbres Fiscales (Fiscal Stamps)",2077952.01
1953,"52","Papel Sellado (Sealed Paper)",770434.12
1953,"55","Pasajes Marítimos y Aéreos",303494.47
1953,"56","Primas de Seguros",108459.39
1953,"700","OTRAS RENTAS (MISCELLANEOUS)",2692437.71
1953,"800","OTROS INGRESOS (VENTA PROPIEDAD)",5335
1953,"900","INGRESOS QUE NO REPRESENTAN RENTAS",222478.37
1953,"992","Liquidación de Reparos",28073.75
1953,"993","Liquidación de Responsabilidades Pendientes",38960.15
1953,NA,"TOTAL INGRESOS ORDINARIOS",140313429.7
1954,"0","IMPUESTOS (TAXES)",154467475.68
1954,"10","Derechos de Importación (Sub-total)",53510046.52
1954,"100","VENTA DE MERCADERIAS Y PRODUCTOS",1529882.41
1954,"1000","TOTAL GENERAL DE INGRESOS",NA
1954,"101","Productos Alcohólicos",22770428.26
1954,"102","Cigarrillos",9546697.66
1954,"103","Azúcar",3973385.5
1954,"107","Productos Derivados del Petróleo",6493170.78
1954,"11","Sobre Tejidos y Artículos de Vestuario",8916386.16
1954,"12","Sobre Combustibles, Aceites y Lubricantes",9218332.95
1954,"13","Sobre Harinas de Cereales y Vegetales",152958.45
1954,"14","Sobre Hierro y Productos de Hierro/Acero",2894258.07
1954,"15","Sobre Vehículos y Repuestos",151199.01
1954,"16","Derechos Consulares",10760859.9
1954,"17","Otros Recargos sobre Importación",991169.14
1954,"19","Sobre Mercaderías No Clasificadas",17004625.68
1954,"20","Derechos de Exportación (Sub-total)",31554482.28
1954,"200","PRESTACION DE SERVICIOS",5521216.69
1954,"21","Sobre el Café",30461430.31
1954,"211","Teléfonos",2094845.38
1954,"212","Correos (Postal)",919952.88
1954,"22","Sobre el Camarón",1072090.67
1954,"231","Almacenaje en Aduanas",323973.51
1954,"250","Muelles y Puentes",616875.81
1954,"30","Artículos Manufacturados y Consumo",50598837.93
1954,"300","DERECHOS, LICENCIAS, CONCESIONES",1609636.92
1954,"311","Visación y Auténtica de Documentos",764564.67
1954,"341","Licencias de Motorista y Aprendizaje",127988
1954,"40","Impuestos sobre la Renta y Vialidad",NA
1954,"400","MULTAS Y COMISOS",387281.68
1954,"60","Sucesiones y Donaciones",8817475.88
1954,"700","OTRAS RENTAS (MISCELLANEOUS)",3910504.96
1954,"722","Intereses Préstamos e Inversiones",347678.24
1954,"755","Donativos Instituciones Autónomas",997426.26
1954,"760","Otras Rentas No Clasificadas",2307093.07
1954,"800","VENTA/DAÑO PROPIEDAD FISCAL",4925
1954,"900","INGRESOS NO RENTAS",5185080.53
1954,"912","Producto de Pagarés",5e+06
