"year","item_code","description","value"
"1952","","TITULO I — RENTAS DE DERECHOS PATRIMONIALES",33234.47
"1952","","TITULO II — EXPLOTACION DE EMPRESAS OFICIALES",6272115.56
"1952","","Capítulo 1º: Comunicaciones",3530687.73
"1952","","Capítulo 2º: Varios",2741427.83
"1952","","— Art. 15: Producto de almacenes aduaneros",2390633.84
"1952","","— Art. 16: Producto de la Imprenta Nacional",6783.12
"1952","","— Art. 17: Producto de laboratorios químicos",103
"1952","","TITULO III — VENTA DE ESPECIES Y OTROS BIENES",3540385.28
"1952","","Capítulo 1º: Ventas de Efectos Realizables",407453.46
"1952","","TITULO IV — SERVICIOS ADMINISTRATIVOS",9043891.53
"1952","","Capítulo 1º: Registros",59294.15
"1952","","Capítulo 2º: Servicios Consulares",8836502.38
"1952","","Capítulo 3º: Servicios Varios",148095
"1952","","TITULO V — IMPUESTOS (Directos y Otros)",106380927.22
"1952","","Capítulo 1º: Impuestos Directos",10990125.96
"1952","","Capítulo 2º: Transferencias de Propiedades",2458474.07
"1952","","Capítulo 3º: Impuesto sobre Licores",8010064.12
"1952","","Capítulo 4º: Especies sin Valor Comercial",6687513.29
"1952","","Capítulo 5º: Licencias y Matrículas",1100486.2
"1952","","Capítulo 6º: Impuestos Varios",8980111.59
"1952","","Capítulo 7º: Renta de Aduanas (Ajuste Neto)*",68154151.99
"1952","","TITULO VI — MULTAS Y COMISOS",686634.12
"1952","","TITULO VII — INGRESOS ORDINARIOS VARIOS",173216.1
"1952","","— Art. 158: Grabados marcas ganado",103
"1952","","— Art. 157: Venta cartuchos tiro al blanco",NA
"1952","","TOTAL INGRESOS ORDINARIOS",126086514.28
"1952","","AJUSTE PÓLIZAS ADUANERAS (Art. 99)",1998963.7
"1952","1000","TOTAL GENERAL PERCIBIDO (FONDO GRAL)",129689958.53
"1953","0","IMPUESTOS (TAXES)",122954854.22
"1953","010-040","Taxes (Import, Export, Income, Consumption)",NA
"1953","50","Especies Fiscales e Impuestos por Servicios",3621529.03
